1968,GOLD AM,,GOLD PM,,SILVER,
Jan Low,124,61.427,124.6,61.322,383,189.05
Jan Avg,131.6952,64.908,131.4881,64.7899,406.6595,200.5
Feb High,133.65,65.967,133.4,65.841,425.8,210.2
Feb Low,128.4,63.345,128.75,63.439,394.3,194.05
Feb Avg,130.94,64.5957,131.07,64.6571,408.77,201.6425
Mar High,134.3,69.996,134.25,69.643,429.9,223.7
Mar Low,128.6,64.966,128.7,64.911,402.9,204.75
Mar Avg,132.6761,68.1759,132.5783,68.1917,419.6761,215.8391
Apr High,129.25,70.431,129.2,70.524,456.5,250.5
Apr Low,127.1,67.696,127.2,67.939,408.6,217.85
Apr Avg,127.91,69.1818,127.94,69.2428,434.57,235.3175
May High,128.25,71.191,128.45,71.226,466.9,263.1
May Low,124.4,69.19,124.5,69.407,435.9,237.7
May Avg,126.9125,70.0042,126.935,70.1347,447.375,247.2425
June High,127,74.276,127.4,74.126,494.1,278.4
June Low,123.8,69.469,123.7,69.418,463,264.25
June Avg,125.6841,71.2082,125.7091,71.26,478.4318,271.2705
July High,123.25,69.059,123.3,68.878,508.4,282.15
July Low,110,61.659,107.75,60.466,443.8,249.6
July Avg,117.8659,65.9499,117.7545,65.8837,476.5591,266.765
Aug High,113.65,63.726,113.55,63.576,447.1,250.1
Aug Low,103.05,58.047,103.5,58.409,410.5,231.3
Aug Avg,113.65,63.726,113.55,63.576,447.1,250.1
Sept High,120.75,70.678,119.9,70.906,444.5,264.8
Sept Low,104,58.598,105.7,59.556,408.8,230.4
Sept Avg,114.0977,66.0066,114.1455,65.9998,430.25,248.7705
Oct High,123.5,78.713,123.15,78.319,436,273.95
Oct Low,113.65,68.288,114,68.208,413.1,249.2
Oct Avg,116.0952,70.8239,116.1429,70.863,422.5476,257.65
Nov High,138.2,84.027,138.85,84.551,457,278.25
Nov Low,122,76.492,122.5,76.167,425.2,257.7
Nov Avg,130.3409,79.6165,130.4636,79.6775,435.9091,266.3705
Dec High,137,82.002,137.65,82.292,438.9,263.95
Dec Low,130.5,78.454,130.5,78.36,424.2,254.55
 Dec Avg,133.6738,79.6862,133.8775,79.7862,433.9857,258.7333
1976 High,140.35,84.027,140.35,84.551,508.4,282.15
1976 Low,103.05,58.047,103.5,58.409,383,189.05
1976 Average,124.8018,69.3511,124.772,69.3294,435.3227,242.7109


1977,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,136.1,79.754,135.7,79.44,453.4,264
Jan Low,129.4,75.128,129.75,75.789,431.3,250.35
Jan Avg,132.3063,77.1997,132.2638,77.1807,440.225,256.9225
Feb High,142.25,83.216,142.75,83.275,473.3,276.4
Feb Low,131.8,76.762,132.1,76.972,444.6,259.1
Feb Avg,136.1625,79.6095,136.2988,79.6628,453.195,265.1625
Mar High,153.6,89.385,153.55,89.362,497.5,289.7
Mar Low,142.1,83.022,141.4,82.468,471.8,275.8
Mar Avg,148.3391,86.3762,148.2283,86.295,485.7435,282.8826
Apr High,152.3,88.577,152.2,88.499,488.8,284.2
Apr Low,146.5,85.199,145.6,84.666,470.3,273.5
Apr Avg,149.1842,86.7688,149.1658,86.7509,479.2421,278.7711
May High,148.15,86.144,148.35,86.272,479,278.6
May Low,143.2,83.392,142.95,83.168,453.6,264.05
May Avg,146.5364,85.2627,146.6045,85.297,470.0136,273.4955
June High,143.75,83.619,143.85,83.668,458.5,266.7
June Low,137.2,79.805,137.1,79.737,433.3,252
June Avg,140.8275,81.9048,140.7775,81.8694,446.735,259.8375
July High,145.8,84.729,146.4,85.111,462.6,268.95
July Low,140.55,81.696,140.5,81.662,443,257.5
July Avg,143.3976,83.2634,143.3929,83.2303,452.8333,262.9952
Aug High,146.5,84.278,146.75,84.363,458.2,263.5
Aug Low,143.35,82.352,143.3,82.318,436.4,250.8
Aug Avg,145.0091,83.326,144.95,83.2986,446.9773,256.8886
Sept High,153.9,88.134,154.05,88.186,464.5,265.75
Sept Low,145.6,83.563,145.4253,83.462,444.7,255
Sept Avg,149.3341,85.6555,149.5239,85.7644,453.5455,260.1591
Oct High,163.65,92.087,163.25,92.008,487.7,274.25
Oct Low,153.6,87.273,153.95,87.477,463.5,263.35
Oct Avg,158.8476,89.7251,158.8595,89.6957,476.0214,268.8857
Nov High,168.15,92.365,167.95,92.356,496.8,273.3
Nov Low,156.65,86.356,156.15,86.118,470.3,259.3
Nov Avg,162.1318,89.06,162.1,89.1453,482.8409,265.4205
Dec High,165.6,88.04,166,88.203,479.8,263
Dec Low,157.35,84.662,157.6,84.369,466.2,246.9
 Dec Avg,160.48,86.5222,160.45,86.5231,472.2875,254.72
1997 High,168.15,92.365,167.95,92.356,497.5,289.7
1997 Low,129.4,75.128,129.75,75.789,431.3,246.9
1997 Average,147.8382,84.6247,147.7927,84.6208,463.519,265.621


1978,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,177.1,90.923,177.5,90.923,505.2,259.5
Jan Low,166.3,86.595,165.7,82.189,481.8,250
Jan Avg,173.2071,89.4926,173.1786,89.2403,494.3905,254.75
Feb High,183.75,94.182,183.2,94.176,505.2,259.4
Feb Low,174,89.813,172.85,89.43,485.1,250.85
Feb Avg,178.36,91.901,178.155,91.812,496.25,255.7725
Mar High,188.8,98.623,190,98.61,547.9,288
Mar Low,177.25,93.304,177.3,93.34,498.5,256.85
Mar Avg,183.7714,96.241,183.6619,96.1805,525.7714,275.6048
Apr High,182.75,97.415,183.4,97.839,541.7,289.05
Apr Low,168,92.454,167.65,92.154,491.6,270.55
Apr Avg,175.3225,94.6667,175.275,94.6405,515.78,278.58
May High,184.9,101.465,184.15,100.843,546.6,299.75
May Low,169.15,92.558,168.9,92.346,497.7,272.35
May Avg,176.1905,96.8992,176.3071,96.9627,514.1524,282.8786
June High,186.35,101.387,186.5,101.497,545,298.55
June Low,181,98.452,180.55,98.339,524.5,283.7
June Avg,183.7614,100.0386,183.7523,100.0206,532.9591,290.2023
July High,198.9,103.942,201.3,104.691,559.8,292.6
July Low,183,97.941,182.75,97.832,523.6,277.7
July Avg,188.569,99.4896,188.7262,99.5587,535.2952,282.4643
Aug High,215.9,108.939,215.75,108.855,574.3,295.6
Aug Low,198.35,103.32,198,102.857,535.3,278.9
Aug Avg,206.4545,106.2441,206.3,106.1832,554.3227,285.3432
Sept High,219.1,110.768,218.4,110.638,573,289
Sept Low,205.7,106.335,205.65,106.255,547.1,283
Sept Avg,212.2119,108.4142,212.0762,108.2845,559.1857,285.581
Oct High,243.65,116.775,242.75,116.16,626.4,302.1
Oct Low,217,110.169,217.1,110.186,567.3,288.35
Oct Avg,227.4318,113.2909,227.3932,113.2968,594.4955,296.2273
Nov High,238.65,115.99,227.5,113.184,613.4,311.2
Nov Low,193.65,99.374,193.4,99.45,567.1,289
Nov Avg,207.0818,105.391,206.0727,105.0606,587.5591,299.3886
Dec High,224.5,110.265,226,110.676,602.8,307.05
Dec Low,194.05,100.196,194.65,100.435,584.1,295.35
 Dec Avg,207.8947,104.7264,207.8342,104.6596,592.5158,298.8605
1978 High,243.65,116.775,242.75,116.16,626.4,311.2
1978 Low,166.3,86.595,165.7,82.189,481.8,250
1978 Average,193.574,100.6811,193.4437,100.6059,542.1766,282.3579


1979,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,235.1,117.709,236.1,118.091,671.1,336.4
Jan Low,216.55,108.71,216.85,108.621,593.5,296.4
Jan Avg,226.9864,113.1751,227.2705,113.2981,620.9773,309.6773
Feb High,254,126.067,252.35,125.547,785,390.85
